File_name,Channel,Sample_width,Frame_rate,Frame_width,Duration (ms),Frame_count,Intensity,Energy,Zero_crossing_rate,Root Mean Square,Spectral Centroid,Spectral Bandwidth,MFCC,Max_frequency,Min_frequency
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
