File_name,Channel,Sample_width,Frame_rate,Frame_width,Duration (ms),Frame_count,Intensity,Energy,Zero_crossing_rate,Root Mean Square,Spectral Centroid,Spectral Bandwidth,MFCC,Max_frequency,Min_frequency
L_0_I_1,1,2,100000,2,1,150000.0,-8.395153042398514,0.1465625885770975,0.0025540865384615385,0.3793678,484.6589238965552,1513.363694462826,1.5979594,0.68896043,-0.54009855
L_0_II_1,1,2,100000,2,4,408000.0,-8.782016349325183,0.1340658659297052,0.002774325284090909,0.364192,510.2798052591979,1577.638862414298,1.005977,0.6818746,-0.52594066
L_0_buffer_L1,1,2,100000,2,0,60000.0,-10.629260259890565,0.08761824119838908,0.0048828125,0.2863458,677.7766015939035,1758.1772366011255,1.1771538,0.63047403,-0.46281353
L_0_III_K,1,2,100000,2,1,168000.0,-11.0322980851514,0.0798551005223518,0.0038928724315068493,0.2795487,627.4168122686024,1724.1465380340242,1.4594951,0.55521417,-0.34568828
L_0_III,1,2,100000,2,5,540000.0,-11.273508537559856,0.075528657643613,0.004086473980686695,0.27315646,649.8186758280112,1716.6375994855941,1.5201005,0.56242144,-0.3538902
L_0_buffer_L2,1,2,100000,2,0,30000.0,-13.429401809631155,0.04598002992429611,0.0048828125,0.20965578,836.0033727925971,1956.6237664848034,0.90905374,0.44998443,-0.3245319
M_0_I_2,1,2,100000,2,1,150000.0,-9.459063550519636,0.11471873818972034,0.0023888221153846156,0.33610645,507.189069206441,1562.219366017234,1.7687808,0.6305451,-0.4631382
M_0_II_2,1,2,100000,2,2,294000.0,-9.546136899795508,0.1124398428943573,0.003268024114173228,0.33347294,520.9060396447727,1601.410204443181,0.72593117,0.6314793,-0.4950199
M_0_buffer_M1,1,2,100000,2,0,60000.0,-9.388465305143534,0.11659213272982805,0.002704326923076923,0.33530095,536.5336377799041,1618.2382598364982,1.1706352,0.5826447,-0.4372324
M_0_IV_1_K,1,2,100000,2,2,246000.0,-11.540605783330495,0.07103803104490442,0.005739607900943396,0.26129034,662.5466192546753,1783.145702738271,0.4836214,0.5767981,-0.41607964
M_0_IV_1,1,2,100000,2,3,372000.0,-9.779967784429559,0.10653971139867237,0.005070846273291925,0.3243602,623.0048327068774,1749.207195365069,1.3442783,0.5990545,-0.46297157
M_0_buffer_M2,1,2,100000,2,0,60000.0,-9.015347374624126,0.1270419512205924,0.004169170673076923,0.35186803,582.2387651828122,1704.2375586181636,2.3803713,0.61998373,-0.4631802
M_0_II_3_K,1,2,100000,2,2,288000.0,-8.345819029983684,0.14821587272061604,0.00328125,0.3811172,466.6293176833434,1504.658928718438,1.4003915,0.7793909,-0.6104655
M_0_II_3,1,2,100000,2,3,372000.0,-9.65904104205215,0.10954847538813912,0.003317886257763975,0.32893598,469.4279367753499,1520.9005974116096,0.3596437,0.5961853,-0.45533127
M_0_buffer_M3,1,2,100000,2,0,60000.0,-9.673560548914319,0.10916970412296863,0.0033428485576923075,0.32631376,461.79603202323426,1497.2165233668798,0.5876258,0.57799447,-0.4378019
M_0_IV_2_K,1,2,100000,2,2,258000.0,-11.398642257637565,0.07339181584697832,0.004664829799107143,0.26789814,631.6914079271054,1720.580071747797,0.68671197,0.6035718,-0.42920396
M_0_IV_2,1,2,100000,2,3,372000.0,-9.729444595018798,0.10778719599959159,0.004057890139751553,0.32647786,602.5765454698243,1715.3370116441376,1.5075208,0.61403215,-0.49460226
M_0_buffer_M4,1,2,100000,2,0,60000.0,-9.290581960486296,0.11925459419879063,0.005220853365384615,0.33949116,569.4231928570214,1671.099790723631,2.0631366,0.5939116,-0.45779666
M_0_II_4_K,1,2,100000,2,2,288000.0,-8.481287857627006,0.14368504653742284,0.003109375,0.37540418,448.7377207906472,1487.5789126253349,1.4176441,0.73636687,-0.5546044
M_0_II_4,1,2,100000,2,3,366000.0,-9.46930866945863,0.11444910030838383,0.003071845332278481,0.33684906,442.1557028932118,1470.208532442443,0.37779865,0.6349728,-0.48117048
M_0_buffer_M5,1,2,100000,2,0,60000.0,-9.280545377413668,0.11952390548233183,0.0023662860576923075,0.34033453,469.05868235025144,1499.7127982331267,0.99500054,0.60508156,-0.50313354
M_0_IV_3_K,1,2,100000,2,2,204000.0,-12.0709387783137,0.06286254736269507,0.0050048828125,0.24778734,669.0437058014536,1781.8184544370583,0.77475584,0.55485904,-0.4373975
M_0_buffer_M6,1,2,100000,2,0,60000.0,-11.076780537368744,0.07903023948294595,0.004469651442307692,0.27765876,658.7556621933779,1764.9236653890491,1.1153651,0.53030294,-0.40062597
M_0_V,1,2,100000,2,4,426000.0,-16.567341807106942,0.02231824468221365,0.008661684782608696,0.13137172,997.941874806671,2111.9372728035937,-1.9900059,0.67429554,-0.55956966
M_0_buffer_M7,1,2,100000,2,0,30000.0,-18.79369908845997,0.013362565620866402,0.008188100961538462,0.10847965,1017.7299305518488,2117.5968685181488,-1.7380643,0.22362278,-0.113968164
